GEO.id,GEO.id2,GEO.display-label,,HC01_VC116,HC01_VC117,HC01_VC118,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC182,HC01_VC183,HC01_VC184,HC01_VC185,HC01_VC187
Id,Id2,Geography,Census ID,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Less than $50,000","Estimate; VALUE - $50,000 to $99,999","Estimate; VALUE - $100,000 to $149,999","Estimate; VALUE - $150,000 to $199,999","Estimate; VALUE - $200,000 to $299,999","Estimate; VALUE - $300,000 to $499,999","Estimate; VALUE - $500,000 to $999,999","Estimate; VALUE - $1,000,000 or more",Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Less than $200,Estimate; GROSS RENT - $200 to $299,Estimate; GROSS RENT - $300 to $499,Estimate; GROSS RENT - $500 to $749,Estimate; GROSS RENT - $750 to $999,"Estimate; GROSS RENT - $1,000 to $1,499","Estimate; GROSS RENT - $1,500 or more",Estimate; GROSS RENT - Median (dollars),Estimate; GROSS RENT - No rent paid
1400000US06037104401,6037104401,"Census Tract 1044.01, Los Angeles County, California",,409,11,6,0,25,128,221,0,18,320500,171,0,0,12,26,19,38,76,1375,12
1400000US06037104403,6037104403,"Census Tract 1044.03, Los Angeles County, California",,339,41,0,22,12,176,73,15,0,258400,253,0,0,15,0,14,135,89,1392,0
1400000US06037104404,6037104404,"Census Tract 1044.04, Los Angeles County, California",,279,5,18,0,24,66,128,38,0,331900,349,0,0,0,25,139,169,16,1025,0
1400000US06037104500,6037104500,"Census Tract 1045, Los Angeles County, California",,358,16,0,2,21,129,182,8,0,307700,315,0,0,9,27,80,111,88,1192,5
1400000US06037104610,6037104610,"Census Tract 1046.10, Los Angeles County, California",,336,11,9,8,24,141,107,36,0,276900,334,0,0,0,34,41,92,167,1500,33
1400000US06037104620,6037104620,"Census Tract 1046.20, Los Angeles County, California",,467,0,0,45,40,268,114,0,0,249500,272,0,0,0,96,29,109,38,1042,0
1400000US06037104701,6037104701,"Census Tract 1047.01, Los Angeles County, California",,236,0,0,0,26,104,70,36,0,282900,637,0,31,125,118,219,93,51,840,5
1400000US06037104703,6037104703,"Census Tract 1047.03, Los Angeles County, California",,217,56,33,0,20,92,16,0,0,174400,254,0,0,3,23,45,183,0,1187,13
1400000US06037104704,6037104704,"Census Tract 1047.04, Los Angeles County, California",,662,175,45,63,44,93,158,84,0,214300,416,0,0,0,52,32,192,140,1347,0
1400000US06037104810,6037104810,"Census Tract 1048.10, Los Angeles County, California",,654,0,37,7,44,283,256,27,0,287600,384,0,0,0,5,0,204,175,1453,7
1400000US06037104821,6037104821,"Census Tract 1048.21, Los Angeles County, California",,285,11,0,0,14,99,149,12,0,314300,439,0,15,0,27,78,277,42,1232,0
1400000US06037104822,6037104822,"Census Tract 1048.22, Los Angeles County, California",,184,25,0,0,0,102,57,0,0,277000,340,26,41,28,22,0,125,98,1320,0
1400000US06037106010,6037106010,"Census Tract 1060.10, Los Angeles County, California",,709,27,0,0,7,116,338,205,16,396900,142,0,0,15,0,0,47,80,1563,0
1400000US06037106020,6037106020,"Census Tract 1060.20, Los Angeles County, California",,999,0,6,15,16,150,592,210,10,373200,205,0,0,0,0,41,18,146,"2,000+",20
1400000US06037106111,6037106111,"Census Tract 1061.11, Los Angeles County, California",,1141,29,184,102,50,74,611,91,0,331600,228,0,0,0,0,38,0,190,1836,46
1400000US06037106112,6037106112,"Census Tract 1061.12, Los Angeles County, California",,1329,9,15,11,68,298,781,147,0,355900,142,0,0,0,20,60,10,52,985,12
