GEO.id,GEO.id2,GEO.display-label,,HC01_VC116,HC01_VC117,HC01_VC118,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC182,HC01_VC183,HC01_VC184,HC01_VC185,HC01_VC187,,,HC01_VC118,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC126,HC01_VC127,,,HC01_VC119,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC123,HC01_VC124,HC01_VC125,HC01_VC126,HC01_VC127,HC01_VC128
Id,Id2,Geography,Census ID,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Less than $50,000","Estimate; VALUE - $50,000 to $99,999","Estimate; VALUE - $100,000 to $149,999","Estimate; VALUE - $150,000 to $199,999","Estimate; VALUE - $200,000 to $299,999","Estimate; VALUE - $300,000 to $499,999","Estimate; VALUE - $500,000 to $999,999","Estimate; VALUE - $1,000,000 or more",Estimate; VALUE - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Less than $200,Estimate; GROSS RENT - $200 to $299,Estimate; GROSS RENT - $300 to $499,Estimate; GROSS RENT - $500 to $749,Estimate; GROSS RENT - $750 to $999,"Estimate; GROSS RENT - $1,000 to $1,499","Estimate; GROSS RENT - $1,500 or more",Estimate; GROSS RENT - Median (dollars),Estimate; GROSS RENT - No rent paid,,,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Owner-occupied units - Less than $50,000","Estimate; VALUE - Owner-occupied units - $50,000 to $99,999","Estimate; VALUE - Owner-occupied units - $100,000 to $149,999","Estimate; VALUE - Owner-occupied units - $150,000 to $199,999","Estimate; VALUE - Owner-occupied units - $200,000 to $299,999","Estimate; VALUE - Owner-occupied units - $300,000 to $499,999","Estimate; VALUE - Owner-occupied units - $500,000 to $999,999","Estimate; VALUE - Owner-occupied units - $1,000,000 or more",Estimate; VALUE - Owner-occupied units - Median (dollars),,,Estimate; VALUE - Owner-occupied units,"Estimate; VALUE - Owner-occupied units - Less than $50,000","Estimate; VALUE - Owner-occupied units - $50,000 to $99,999","Estimate; VALUE - Owner-occupied units - $100,000 to $149,999","Estimate; VALUE - Owner-occupied units - $150,000 to $199,999","Estimate; VALUE - Owner-occupied units - $200,000 to $299,999","Estimate; VALUE - Owner-occupied units - $300,000 to $499,999","Estimate; VALUE - Owner-occupied units - $500,000 to $999,999","Estimate; VALUE - Owner-occupied units - $1,000,000 or more",Estimate; VALUE - Owner-occupied units - Median (dollars)
1400000US06037102105,6037102105,"Census Tract 1021.05, Los Angeles County, California",,389,12,0,13,5,17,262,80,0,425600,163,0,0,0,3,20,100,40,1200,20,,,301,16,0,0,11,24,236,14,0,388800,,,255,0,0,0,10,23,183,34,5,403800
1400000US06037102107,6037102107,"Census Tract 1021.07, Los Angeles County, California",,827,0,0,0,15,141,210,401,60,540300,432,33,12,108,90,22,51,116,680,0,,,849,0,0,0,26,162,229,413,19,506400,,,946,0,0,0,12,177,245,474,38,531800
1400000US06037103101,6037103101,"Census Tract 1031.01, Los Angeles County, California",,734,8,0,0,7,85,478,156,0,408700,165,0,0,11,14,9,11,120,1818,9,,,733,5,0,0,7,127,439,155,0,403000,,,716,5,0,0,5,90,419,197,0,440600
1400000US06037103102,6037103102,"Census Tract 1031.02, Los Angeles County, California",,1154,11,10,15,50,203,697,157,11,364700,450,0,47,51,14,40,97,201,1375,13,,,1253,47,13,27,64,179,721,193,9,359400,,,1210,42,0,45,44,214,668,197,0,375100
1400000US06037103200,6037103200,"Census Tract 1032, Los Angeles County, California",,1583,116,0,8,11,110,915,423,0,425600,596,0,0,41,29,172,162,192,1143,56,,,1466,103,13,8,0,83,935,324,0,423300,,,1327,123,14,0,0,45,729,390,26,440800
1400000US06037103300,6037103300,"Census Tract 1033, Los Angeles County, California",,1045,17,0,0,7,7,226,711,77,643700,199,0,0,0,0,23,30,146,"2,000+",40,,,1040,7,7,0,9,10,223,711,73,628400,,,978,5,17,0,0,8,161,667,120,649900
1400000US06037103400,6037103400,"Census Tract 1034, Los Angeles County, California",,1520,89,0,0,44,366,677,344,0,354600,946,0,0,0,85,302,256,303,1108,0,,,1441,90,0,0,60,264,717,280,30,374800,,,1514,80,0,12,25,179,744,428,46,417500
1400000US06037104103,6037104103,"Census Tract 1041.03, Los Angeles County, California",,571,4,4,4,8,223,274,54,0,323000,139,0,0,0,23,14,19,83,1630,26,,,604,5,4,5,0,217,323,50,0,328400,,,705,7,0,14,6,120,490,68,0,372400
1400000US06037104105,6037104105,"Census Tract 1041.05, Los Angeles County, California",,655,28,61,78,148,233,97,10,0,203600,708,34,88,67,200,80,128,111,675,18,,,743,43,40,114,130,164,222,30,0,214900,,,798,78,20,86,79,189,275,71,0,243000
1400000US06037104108,6037104108,"Census Tract 1041.08, Los Angeles County, California",,592,47,67,17,20,169,171,101,0,291700,716,0,116,67,0,108,201,224,1280,12,,,650,69,79,0,53,209,196,44,0,251700,,,643,63,76,0,68,164,240,32,0,258100
1400000US06037104124,6037104124,"Census Tract 1041.24, Los Angeles County, California",,889,12,4,9,60,223,509,72,0,332100,213,0,0,13,32,10,119,39,1234,18,,,979,38,17,10,52,300,524,38,0,317700,,,1065,22,11,11,27,273,621,90,10,348200
1400000US06037104201,6037104201,"Census Tract 1042.01, Los Angeles County, California",,684,0,0,23,10,337,311,3,0,291000,201,0,0,41,20,55,6,79,972,0,,,633,0,0,12,18,311,282,10,0,294700,,,614,0,0,11,11,180,371,41,0,337200
1400000US06037104203,6037104203,"Census Tract 1042.03, Los Angeles County, California",,415,0,0,69,11,136,161,38,0,294800,545,0,74,17,53,116,172,113,1039,0,,,404,10,0,56,0,108,197,33,0,318400,,,411,9,0,0,0,70,313,19,0,347900
